Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
SMK BABUSSALAM PAGELARAN,88,231,SWASTA,MALANG
SMKN 1 Badegan,93,231,NEGERI,PONOROGO
SMK DIRGAHAYU KEDUNGADEM,92,233,SWASTA,BOJONEGORO
SMK PGRI 6 NGAWI,92,234,SWASTA,NGAWI
SMK AL - BADRI,90,235,SWASTA,JEMBER
SMK KI HAJAR DEWANTARA,90,238,SWASTA,PONOROGO
SMK BAITUL HIKMAH,92,238,SWASTA,JEMBER
SMK AL-FALAH,88,241,SWASTA,PAMEKASAN
SMK PGRI SOOKO MOJOKERTO,91,241,SWASTA,MOJOKERTO
SMK NEGERI 1 ROBATAL,84,243,NEGERI,SAMPANG
SMK Islamiyah Widodaren,84,244,SWASTA,NGAWI
SMK NADHLATUL ULAMA BULULAWANG,83,245,SWASTA,MALANG
SMK Al Asyariyah Prambon,85,245,SWASTA,NGANJUK
SMAN 1 KEDUNGGALAR,91,245,NEGERI,NGAWI
SMK N 2 PACITAN,92,245,NEGERI,PACITAN
SMKN 1 BRINGIN,94,245,NEGERI,NGAWI
SMK 3 RAUDLATUL MALIKIYAH,87,247,SWASTA,PROBOLINGGO
SMK GEMA 45 SURABAYA,90,249,SWASTA,SURABAYA
SMKN 2 BONDOWOSO.,93,249,NEGERI,BONDOWOSO
SMK PGRI 2 MADIUN,83,250,SWASTA,MADIUN
Sman 1 Kendal,93,252,NEGERI,NGAWI
SMK NU GONDANGLEGI,89,254,SWASTA,MALANG
SMK MUHAMMADIYAH 1 SOMOROTO,84,258,SWASTA,PONOROGO
SMKN 2 Magetan,92,258,NEGERI,MAGETAN
SMK KAL - 1 SURABAYA,92,258,SWASTA,SURABAYA
SMKN 1 LENGKONG,92,258,NEGERI,NGANJUK
SMKN 1 SAWOO,94,258,NEGERI,PONOROGO
SMK NEGERI 1 JETIS,92,259,NEGERI,MOJOKERTO
SMK BERDIKARI - 1 SURABAYA,83,264,SWASTA,SURABAYA
SMK PERSATUAN MAOSPATI,84,267,SWASTA,MAGETAN
SMK GAMALIEL 2 MADIUN,90,267,SWASTA,MADIUN
